":ID","id","name","fullName","scheme","firstReleaseYear:int","governanceStatement","statusStatement","description","sourceJurisdictionLabel","assertedBy","authoritativeSource","sourceVersion","mappingStatus","judgementReason","whyAStandard","isNiche:boolean","evidenceStatus",":LABEL","regulatoryRequirementReference"
"standard-section:definition","definition","Definition — how data is described","","standard-categories","","","","","","","","","","","","","DIRECT_OBSERVATION","Concept;StandardCategory",""
"standard-section:storage","storage","Storage — where data lives","","standard-categories","","","","","","","","","","","","","DIRECT_OBSERVATION","Concept;StandardCategory",""
"standard-section:movement","movement","Movement — how data flows between systems","","standard-categories","","","","","","","","","","","","","DIRECT_OBSERVATION","Concept;StandardCategory",""
"standard-section:transformation","transformation","Transformation — how data is processed and reshaped","","standard-categories","","","","","","","","","","","","","DIRECT_OBSERVATION","Concept;StandardCategory",""
"standard-section:discovery","discovery","Discovery — how data is found and traced","","standard-categories","","","","","","","","","","","","","DIRECT_OBSERVATION","Concept;StandardCategory",""
"standard-section:operations","operations","Operations — how data is queried, observed, governed","","standard-categories","","","","","","","","","","","","","DIRECT_OBSERVATION","Concept;StandardCategory",""
"standard-category:ai-interfaces","ai-interfaces","AI Interfaces","","standard-categories","","","","","","","","","","","","","DIRECT_OBSERVATION","Concept;StandardCategory",""
"standard-category:catalog-apis","catalog-apis","Catalog APIs","","standard-categories","","","","","","","","","","","","","DIRECT_OBSERVATION","Concept;StandardCategory",""
"standard-category:contracts","contracts","Contracts","","standard-categories","","","","","","","","","","","","","DIRECT_OBSERVATION","Concept;StandardCategory",""
"standard-category:data-products","data-products","Data Products","","standard-categories","","","","","","","","","","","","","DIRECT_OBSERVATION","Concept;StandardCategory",""
"standard-category:data-quality","data-quality","Data Quality","","standard-categories","","","","","","","","","","","","","DIRECT_OBSERVATION","Concept;StandardCategory",""
"standard-category:database-connectivity","database-connectivity","Database Connectivity","","standard-categories","","","","","","","","","","","","","DIRECT_OBSERVATION","Concept;StandardCategory",""
"standard-category:file-formats","file-formats","File Formats","","standard-categories","","","","","","","","","","","","","DIRECT_OBSERVATION","Concept;StandardCategory",""
"standard-category:in-memory-format","in-memory-format","In-Memory Format","","standard-categories","","","","","","","","","","","","","DIRECT_OBSERVATION","Concept;StandardCategory",""
"standard-category:interconnection","interconnection","Interconnection","","standard-categories","","","","","","","","","","","","","DIRECT_OBSERVATION","Concept;StandardCategory",""
"standard-category:lineage","lineage","Lineage","","standard-categories","","","","","","","","","","","","","DIRECT_OBSERVATION","Concept;StandardCategory",""
"standard-category:messaging","messaging","Messaging","","standard-categories","","","","","","","","","","","","","DIRECT_OBSERVATION","Concept;StandardCategory",""
"standard-category:observability","observability","Observability","","standard-categories","","","","","","","","","","","","","DIRECT_OBSERVATION","Concept;StandardCategory",""
"standard-category:open-table-formats","open-table-formats","Open Table Formats","","standard-categories","","","","","","","","","","","","","DIRECT_OBSERVATION","Concept;StandardCategory",""
"standard-category:policies","policies","Policies","","standard-categories","","","","","","","","","","","","","DIRECT_OBSERVATION","Concept;StandardCategory",""
"standard-category:processing","processing","Processing","","standard-categories","","","","","","","","","","","","","DIRECT_OBSERVATION","Concept;StandardCategory",""
"standard-category:query","query","Query","","standard-categories","","","","","","","","","","","","","DIRECT_OBSERVATION","Concept;StandardCategory",""
"standard-category:schema","schema","Schema","","standard-categories","","","","","","","","","","","","","DIRECT_OBSERVATION","Concept;StandardCategory",""
"standard-category:semantics","semantics","Semantics","","standard-categories","","","","","","","","","","","","","DIRECT_OBSERVATION","Concept;StandardCategory",""
